index,question,answer,A,B,C,D,split,prediction,parsed,spuriousAttr,isSpurious,isError
246650,What direction will the beige car travel in after the light turns green above the intersection?,D,right,reverse,left,straight,train,(D) straight,D,,False,False
64800,Why are the people lined up outside the silver vehicle?,C,getting ride,getting in,buying food,driving it,train,(C) buying food,C,,False,False
138921,What kind of transportation is this?,C,land,rail,air,water,train,(C) air,C,,False,False
91190,This airline company is headquartered in which country?,C,india,china,japan,korea,train,(C) japan,C,,False,False
566765,What is the cat on the toilet lid staring at?,C,toilet bowl,reflection,upper cat,sink,train,(C) upper cat,C,,False,False
410648,What is not unique about this animals?,D,have husks,large ears,have trunks,four legs,train,(D) four legs,D,,False,False
324626,What are the two men looking at?,B,food,phone,book,letter,train,(B) phone,B,,False,False
22195,What is the name of the painting on the outside of the blue train?,C,fine art,acrylic,graffiti,oil,train,(C) graffiti,C,,False,False
69182,What can people do here besides skateboarding?,C,play basketball,play tennis,swim,hike,train,(C) swim,C,,False,False
389549,Why is the brown object placed near the fence?,B,to disguise,to inform,decoration,to warn,train,(B) to inform,B,,False,False
149449,What are people watching the elephant likely to use to shoot it?,A,camera,gun,bow/ arrows,darts,train,(A) camera,A,,False,False
147568,Where is the man sitting?,C,bike,couch,dugout,bed,train,(C) dugout,C,,False,False
485129,If the person here falls off the board what might help them retrieve their board?,A,leg rope,dog,shark,satellite dish,train,(A) leg rope,A,,False,False
567205,The technician on the sidewalk is in the process of repairing what item next to the SUV?,C,crosswalk signal,ticket kiosk,parking meter,payphone,train,(C) parking meter,C,,False,False
219848,What should they have worn before starting the activity?,A,life jacket,headband,wristband,helmet,train,(A) life jacket,A,,False,False
395964,What is the boy on the right holding?,A,sword,shield,pumpkin,mace,train,(A) sword,A,,False,False
539665,What kind of item is the man very likely to be carrying in the case?,D,equipment,costume,clothing,stringed instrument,train,(D) stringed instrument,D,,False,False
21083,What is the silver vehicle by the building used for?,A,transport luggage,sell tickets,clean grounds,shuttle,train,(A) transport luggage,A,,False,False
270163,What powers the boat farthest away?,C,sail,oars,motor,nothing,train,(C) motor,C,,False,False
3939,What toy is held by more children?,C,magic kit,tape,teddy bear,ez bake,train,(C) teddy bear,C,,False,False
208618,What color is the long haired man's vest?,A,green,red,violet,orange,train,(A) green,A,,False,False
509030,What base is he on his way to?,C,home,second,first,third,train,(C) first,C,,False,False
509415,Why is he inside the wave?,D,fell there,is lost,swam there,showing off,train,(C) swam there,C,"Yes, the error is primarily caused by spurious correlation. The model likely associated the presence of a person inside a wave with swimming, which is a common activity related to water, rather than recognizing the context of surfing and the possibility of showing off.",True,True
462026,What type of stand is holding up the motorcycle?,B,music stand,display stand,kick stand,grand stand,train,(B) display stand,B,,False,False
145741,Which item that is missing would help complete the home office setup?,C,mouse pad,laptop,microphone,web cam,train,(A) mouse pad,A,"No, the error is not primarily caused by spurious correlation. The model likely made an error in understanding the context or the specific needs of a home office setup. A microphone is more relevant for tasks like video conferencing or recording, which might not have been clearly identified as a priority in the image context. The choice of a mouse pad might have been due to a misinterpretation of the setup requirements rather than spurious correlation.",False,True
180470,What kind of outfit is the statue dressed in?,A,suit,pajamas,athletic wear,swim wear,train,(A) suit,A,,False,False
304735,At which event do these people pose?,A,exhibition,mall,office meeting,zoo,train,(A) exhibition,A,,False,False
340998,What occupation does the person with the loaded bike beside them?,C,patisserie,fortune teller,florist,food seller,train,(C) florist,C,,False,False
536166,How did this man get to this location?,C,walk,uber,via horseback,cow back,train,(C) via horseback,C,,False,False
258538,What is the purpose of the umbrellas?,C,decorative,hide people,sun protection,rain protection,train,(C) sun protection,C,,False,False
79869,The person who uses this space likes to collect what?,A,key chains,trolls,cleaning supplies,lap tops,train,(A) key chains,A,,False,False
24636,What bathroom fixture is to the left of the towel rack?,C,bidet,sink,toilet,shower,train,(B) sink,B,"No, the error is not primarily caused by spurious correlation. The model likely made a mistake in visual recognition or spatial reasoning, misidentifying the location of the towel rack or the fixtures in the image. Spurious correlation would involve the model relying on irrelevant patterns or associations, which doesn't seem to be the case here.",False,True
71310,A car turning which way is a hazard to this man?,D,reversing,straight,left,right,train,(D) right,D,,False,False
513577,What is he doing to the tie?,C,stealing it,straightening it,tying it,stealing it,train,(B) straightening it,B,"No, the error is not primarily caused by spurious correlation. The model likely misinterpreted the action due to the visual similarity between straightening and tying a tie. This is more about the model's difficulty in distinguishing between similar actions rather than relying on irrelevant patterns.",False,True
468319,What action will he take with the ball?,C,roll,dunk,swing,dribble,train,(C) swing,C,,False,False
268413,What animal produced the food on the tray?,B,goat,chicken,pig,cow,train,(B) chicken,B,,False,False
581815,What type feet do these birds have?,C,human like,talons,webbed,none,train,(C) webbed,C,,False,False
249288,WHich is a chain burger restaurant sign?,B,gifts,mcdonalds,forever 21,disney,train,(B) mcdonalds,B,,False,False
531244,Why is the woman touching the woman's belly?,B,blessing baby,baby moving,joking around,showing love,train,(D) showing love,D,"No, the error is not primarily caused by spurious correlation. The model's choice of ""showing love"" could be due to a misinterpretation of the context or the expressions in the image, rather than a reliance on non-causal patterns. The model might have associated the gesture with affection rather than the specific action of feeling the baby move.",False,True
137420,Which bird can grind their own calcium supplements?,C,peacock,dove,parrot,crow,train,(C) parrot,C,,False,False
287900,Why is he carrying the surfboard?,A,no wheels,stole it,exercise,found it,train,(A) no wheels,A,,False,False
237632,What state is the computer most likely in?,B,off,starting up,at desktop,processing video,train,(B) starting up,B,,False,False
80040,Which of the bowls of food is a side dish of the main meal?,B,top left,bottom left,bottom right,top right,train,(C) bottom right,C,"No, the error is not primarily caused by spurious correlation. The model's mistake likely stems from a misinterpretation of the visual context or an inability to correctly identify which dish is the main meal versus a side dish. Spurious correlation would imply the model relied on irrelevant patterns, but this seems more like a classification or context understanding error.",False,True
108452,These animals are known to do what?,B,hibernate,gallop,fly,swim,train,(B) gallop,B,,False,False
341712,What can you check out from that van?,D,electronics,clothes,games,books,train,(D) books,D,,False,False
416545,The red metal marker attached to the fire hydrant is most useful during which season?,B,fall,winter,spring,summer,train,(B) winter,B,,False,False
50350,What type of rolls are in the wicker basket?,B,jelly,toilet,camera,dinner,train,(B) toilet,B,,False,False
440244,What job does the person with the larger item on their head hold?,B,doctor,mascot,janitor,lawn mower,train,(B) mascot,B,,False,False
394058,Why are these people covering their faces?,A,keeping warm,stopping covid,for style,as punishment,train,(A) keeping warm,A,,False,False
79503,Where does the URL text actually exist?,D,on boy,on grass,on shoe,image file,train,(D) image file,D,,False,False
431660,In what year did number 5 retire?,A,2015,2006,1996,2011,train,(A) 2015,A,,False,False
411617,What type of game is being played?,D,card,athletic,board,video,train,(D) video,D,,False,False
116963,What companies logo can be seen on the half pipe?,D,dc,etnies,billabong,quicksilver,train,(D) quicksilver,D,,False,False
122902,How is this bus different from traditional US buses?,D,electric,double wide,windowless,double-decker,train,(D) double-decker,D,,False,False
129510,What surface are the boys playing on?,D,indoor hard,grass,clay,outdoor hard,train,(D) outdoor hard,D,,False,False
51702,In what sort of setting do these people find themselves?,C,mall,desert,urban,rural,train,(C) urban,C,,False,False
517517,Which one of these is a sister island to this location?,B,jamaica,bonaire,barbados,cuba,train,(B) bonaire,B,,False,False
159269,What is near the table?,D,cow,baby,cat,chair,train,(D) chair,D,,False,False
385390,What is the flush on the toilet called?,A,toilet flapper,tap,influencer,shower pipe,train,(A) toilet flapper,A,,False,False
446521,Why is the man on the right wearing the vest?,C,style,fashion,visibility,cosplay,train,(C) visibility,C,,False,False
509339,What does the rectangular object on the wall on the left allow for?,D,storage,vision,water flow,electrical power,train,(D) electrical power,D,,False,False
407905,What are the people in the blue car doing?,C,shopping,filming movie,car safari,drive-in movie,train,(C) car safari,C,,False,False
431885,What is the skier passing through?,D,security,ride,inspection,gate,train,(D) gate,D,,False,False
430375,What are the bars for?,C,holds poles,holds skis,stand waiting,holds clothing,train,(C) stand waiting,C,,False,False
133050,What should someone use first to treat the carrot before using the knife to cut it?,C,fork,cutter,peeler,spoon,train,(C) peeler,C,,False,False
401071,What activity might those under umbrellas take part in at some point during the day?,D,drag racing,binge eating,betting,swimming,train,(D) swimming,D,,False,False
354167,What leave imprints in the snow with every step they take?,C,nothing,their shadow,their shoes,their hands,train,(C) their shoes,C,,False,False
32236,What fruit is seen in the cup on the truck?,C,mango,blueberry,raspberry,banana,train,(B) blueberry,B,"No, the error is not primarily caused by spurious correlation. The model likely misidentified the fruit due to visual confusion or misinterpretation of the image content. The presence of multiple fruits on the truck's design could have led to the incorrect choice.",False,True
472676,What are they doing with the surfboards?,B,selling them,taking home,tossing them,riding them,train,(D) riding them,D,"Yes, the error is primarily caused by spurious correlation. The presence of surfboards near the ocean often correlates with the activity of riding them, which may have led the model to incorrectly choose option D. However, the context of the image suggests they are taking the surfboards home, which the model failed to recognize.",True,True
423025,What type of enthusiasts are gathering here?,C,gamers,democrats,bikers,liberals,train,(C) bikers,C,,False,False
125995,What is in the room?,B,television,toothbrush,elephant,bed,train,(B) toothbrush,B,,False,False
117366,Beta carotene rich vegetable in the image is?,D,cabbage,broccoli,beet,carrot,train,(D) carrot,D,,False,False
263041,If you put a giant board in front of them what current action of theirs would you prevent them from doing?,D,eating,fishing,talking,playing videogames,train,(D) playing videogames,D,,False,False
492736,Which hand is she using to hold the phone?,C,left,both,right,neither,train,(A) left,A,"No, the error is not primarily caused by spurious correlation. It is more likely due to a misinterpretation of the visual information, such as the model incorrectly identifying which hand is holding the phone.",False,True
339356,Which food unprepared to eat?,D,vegetables,meat,rice,banana,train,(D) banana,D,,False,False
377513,What will rehydrate the people at the table if they are dehydrated?,D,beer,beer,pizza,water,train,(D) water,D,,False,False
76847,People standing on something solid furthest into and above water stand on what?,C,plane,wharf,pier,ship,train,(B) wharf,B,"No, the error is not primarily caused by spurious correlation. The model likely misidentified the structure due to visual similarities between a wharf and a pier, which can be contextually challenging to distinguish in images. This is more about a misinterpretation of visual features rather than relying on non-causal patterns.",False,True
291527,What might you feel more like buying after viewing the wall here?,B,fine food,cars,fast food,bicycles,train,(B) cars,B,,False,False
535179,Which ski does the skier set down first to land safely?,C,poles,left,both,right,train,(C) both,C,,False,False
192023,Why is less snow visible on the area lower than the land near the photographer here?,C,no reason,snow misers,warmer there,colder there,train,(C) warmer there,C,,False,False
389498,Why is he extending his arm?,B,it hurts,taking selfie,holding kite,waving,train,(B) taking selfie,B,,False,False
550911,Where has most of her weight been shifted?,D,biceps,calves,wrists,quads,train,(D) quads,D,,False,False
76590,Which fruit juice has anti cancer properties?,B,apple,passion,orange,guava,train,(D) guava,D,"No, the error is not primarily caused by spurious correlation. The model's task was to identify which fruit juice has anti-cancer properties based on the given choices. The image of pizza and drinks does not provide relevant information to determine the correct answer, which is based on factual knowledge rather than visual cues. The error likely stems from a lack of knowledge or incorrect information rather than spurious correlations in the image.",False,True
377319,What role does FedEx play in this game?,A,sponsor,delivery,food provider,transportation,train,(A) sponsor,A,,False,False
349068,At which direction is the highland cattle above staring to?,D,up,right,left,front,train,(D) front,D,,False,False
118598,What does the yellow and white kite resemble?,C,badger,werewolf,squid,crab,train,(C) squid,C,,False,False
272048,What does the company whose name is on the left chair sell?,B,tires,stocks,butter,pogs,train,(B) stocks,B,,False,False
298784,What is the large silver object in the middle of the group?,A,boat,scooter,plane,pool,train,(A) boat,A,,False,False
526004,Where did the baby get the pizza?,C,baked it,bought it,from adult,stole it,train,(C) from adult,C,,False,False
296459,Approximately what time is it?,D,925,155,1205,255,train,(A) 925,A,"No, the error is not primarily caused by spurious correlation. The model likely made an error in interpreting visual cues, such as the time on a clock or watch, rather than relying on irrelevant patterns or correlations.",False,True
227851,What is the weather like in the scene?,C,windy,cold,hot,rainy,train,(C) hot,C,,False,False
334850,What does the person standing here wait to see?,A,walk light,candle,their friend,warning,train,(A) walk light,A,,False,False
16084,What is most shocking in this picture?,A,gas mask,carpet,legs,shoes,train,(A) gas mask,A,,False,False
393075,What kind of outdoor event are the two on the bench attending?,A,art fair,concert,car show,live auction,train,(A) art fair,A,,False,False
427384,What word is on the wall?,B,fiction,biography,biology,mathematics,train,(B) biography,B,,False,False
305425,What is the occupation of the man in the red vest?,B,fashion model,produce vendor,circus acrobat,restaurant chef,train,(B) produce vendor,B,,False,False
38919,The ruins were probably once what type of structure?,A,castle,church,casino,school,train,(A) castle,A,,False,False
68789,Who is the parking meter for?,D,bicyclists,pedestrians,animals,drivers,train,(D) drivers,D,,False,False
139490,What kind of cuisine is this?,B,chinese,japanese,indian,korean,train,(B) japanese,B,,False,False
93141,This collage shows the surfer riding a wave but at different what?,B,outfits,angles,surfboards,weather,train,(B) angles,B,,False,False
188311,What does one need to keep the items in the pink container working?,A,sharpener,electricity,gas,knife,train,(A) sharpener,A,,False,False
223256,What video game character are the boys mimicking?,A,donkey kong,samus,mario,link,train,(A) donkey kong,A,,False,False
14056,How is the image made to look?,B,upside down,old fashioned,futuristic,inverted,train,(B) old fashioned,B,,False,False
467130,Where are they likely to work from?,A,office,home,warehouse,constraction,train,(A) office,A,,False,False
308277,What are the people wearing red's job?,B,secretaries,lifeguards,police,dancers,train,(B) lifeguards,B,,False,False
402248,What is the boy sitting in the grass doing?,D,playing pokemon,resting,texting,flying kite,train,(D) flying kite,D,,False,False
559462,Why are they standing like that?,C,are resting,are falling,are posing,are fighting,train,(C) are posing,C,,False,False
22882,What drink goes in this type of glass?,D,coffee,tea,beer,wine,train,(D) wine,D,,False,False
492347,In what direction will the train go next with respect to the person taking this person?,B,south,north,south,east,train,(B) north,B,,False,False
19060,Based on the leaves on the trees what season is it?,D,fall,summer,spring,winter,train,(B) summer,B,"No, the error is not primarily caused by spurious correlation. The model likely misinterpreted the visual cues of green leaves, which are typically associated with summer, rather than recognizing the specific environmental context that might indicate winter in certain regions. This is more about a lack of contextual understanding rather than spurious correlation.",False,True
298350,Where did the youth get the bruises on his legs?,A,skateboard fall,racquetball,riding broncos,bull riding,train,(A) skateboard fall,A,,False,False
541496,Universal shape behind the zips are what?,C,m,t,u,v,train,(C) u,C,,False,False
405530,What is this man doing?,A,is resting,is surfing,watching movie,driving bike,train,(A) is resting,A,,False,False
178379,What are the black helmets the people are wearing made for?,C,halloween,style,riding,sweat reduction,train,(C) riding,C,,False,False
479379,What setting does the boarder pose in here?,B,urban,suburban,desert,farm,train,(B) suburban,B,,False,False
86725,The red item is what type of food?,B,dairy,fruit,grain,legume,train,(B) fruit,B,,False,False
438721,What are these men looking at?,A,baseball,stars,moon,sun,train,(A) baseball,A,,False,False
199522,What has peaked the interest of the little girl?,A,sheep,mother,cage,puddle,train,(A) sheep,A,,False,False
262710,What is the model year of Toyota Tacoma?,A,1995-2004,1998-2004,1996-2004,1998-2000,train,(A) 1995-2004,A,,False,False
440387,Why is everyone headed downhill?,B,going home,they're skiing,it's easier,saves time,train,(B) they're skiing,B,,False,False
224053,Why is the yellow sign posted outdoors?,B,to scare,to inform,to protest,to sell,train,(B) to inform,B,,False,False
559966,What starchy food is visible here?,A,fries,bacon,meat,tomato sauce,train,(A) fries,A,,False,False
536233,Who is steering the flying object?,A,man,boy,girl,woman,train,(D) woman,D,"No, the error is not primarily caused by spurious correlation. The model likely misinterpreted visual cues in the image, such as the positioning or actions of the individuals, rather than relying on non-causal patterns.",False,True
160102,What type of game are the woman playing?,D,board,card,relay,video,train,(D) video,D,,False,False
418535,Which of the man's accessories need to be replaced?,B,hat,shoes,tie,gloves,train,(B) shoes,B,,False,False
530394,What type of internet connection is being used in the residence?,A,dsl,cellular,fiber,cable,train,(D) cable,D,"Yes, the error is primarily caused by spurious correlation. The image of a cat and a mirror does not provide any relevant information about the type of internet connection being used. The model likely relied on irrelevant visual patterns or context that coincidentally correlated with the incorrect choice.",True,True
107188,What is the cat doing on the bench?,A,sleeping,grooming,eating,playing,train,(A) sleeping,A,,False,False
386062,What is the man in the brown shirt emulating with the white controller?,A,driving,shooting,boxing,skiing,train,(A) driving,A,,False,False
482841,Why is the cat in the sink?,A,to sleep,to eat,to bathe,to comb,train,(A) to sleep,A,,False,False
535770,Who is the most successful quarterback of her favorite team?,C,drew bledsoe,eli manning,tom brady,brett favre,train,(C) tom brady,C,,False,False
80941,Why is the person on the board crouching?,D,to dance,to sit,to jump,to balance,train,(D) to balance,D,,False,False
241617,That cake is for two people who are involved how?,D,rivals,siblings,colleagues,romantically,train,(D) romantically,D,,False,False
185834,If the green item is part of this person's religion what are they most likely unfamiliar with?,A,diwali,baptism,extreme unction,christmas,train,(A) diwali,A,,False,False
425644,What kind of trees can be seen?,B,birch,palm tree,pine tree,oak tree,train,(B) palm tree,B,,False,False
366295,What animals are present?,C,giraffe,dog,elephant,deer,train,(C) elephant,C,,False,False
275377,What is the person on the bench doing?,A,reading,working,cooking,sleeping,train,(A) reading,A,,False,False
324643,What caused the lines in the snow?,A,car wheels,skis,animal,shovel,train,(B) skis,B,"Yes, the error is primarily caused by spurious correlation. The presence of a person skiing in the image may have led the model to incorrectly associate the lines in the snow with skis, even though the correct cause was car wheels.",True,True
172743,What kind of building is the one with the sign on the left?,A,hotel,restaurant,pub,library,train,(A) hotel,A,,False,False
116911,What brand is the blue shirt on the right?,A,adidas,new balance,reebok,nike,train,(D) nike,D,"Yes, the error could be primarily caused by spurious correlation. The model might have associated certain visual features or contexts with the Nike brand due to patterns in the training data, even though those features are not causally related to the actual brand of the shirt.",True,True
578350,Which things would be easiest for the giraffes to eat here?,C,ground bushes,cookies,trees,hair,train,(C) trees,C,,False,False
537417,Why is the dog on the table?,B,to groom,to sit,to eat,to play,train,(A) to groom,A,"No, the error is not primarily caused by spurious correlation. The model's error likely stems from a misunderstanding or misinterpretation of the image content, as it incorrectly identified the animal and its activity. The choice of ""to groom"" might be due to a misclassification rather than a spurious correlation.",False,True
188815,What does the man have on his head besides lipstick?,A,fake blood,jello,ketchup,custard,train,(A) fake blood,A,,False,False
317015,Why is she jumping through the air?,A,catch frisbee,impress others,is falling,was pushed,train,(A) catch frisbee,A,,False,False
218846,What should you eat among these food if you lack in vitamin A?,C,tomato,broccoli,carrot,pepper,train,(C) carrot,C,,False,False
166987,What is in the center of the plate served at this banquet?,B,bacon,meatballs,spaghetti,lasagna,train,(B) meatballs,B,,False,False
423624,Why are so many benches empty?,C,people afraid,benches broken,nobody around,late night,train,(C) nobody around,C,,False,False
206280,What meal is being served?,D,lunch,brunch,breakfast,dinner,train,(D) dinner,D,,False,False
543411,Why do persons lay on their surfboard what is this part of?,C,strike,video craze,lesson,work slowdown,train,(C) lesson,C,,False,False
449270,Where might you find the item in the window?,A,crib,nightclub,butcher,garden shed,train,(A) crib,A,,False,False
501995,Where is the food made?,C,at home,on beach,in truck,in restaurant,train,(C) in truck,C,,False,False
304295,What shape are two of the grass wreaths fashioned into?,D,octagon,rectangle,tree,cross,train,(D) cross,D,,False,False
43393,Which quadrant of the picture has the most cows in it?,D,bottom left,bottom right,top right,top left,train,(A) bottom left,A,"No, the error is not primarily caused by spurious correlation. The model's mistake likely stems from a misinterpretation of the image content, such as misidentifying the animals or misjudging their distribution across the quadrants.",False,True
572036,What type of field are the kids playing on?,A,softball,soccer,lacrosse,football,train,(A) softball,A,,False,False
234100,Where was the fruit being used as flavoring here grown?,A,lime tree,orange tree,no where,pepper plant,train,(A) lime tree,A,,False,False
576067,What are the silver wrappers from?,B,mm's,hershey's kisses,snickers,reese's pieces,train,(B) hershey's kisses,B,,False,False
389295,What position does the player wearing yellow play?,B,shortstop,third base,pitcher,catcher,train,(C) pitcher,C,"Yes, the error is primarily caused by spurious correlation. The model likely associated the color yellow with a pitcher due to patterns in the training data, rather than accurately identifying the player's position on the field.",True,True
553780,In which manner were the desserts here prepared?,D,baking,open fire,grilling,frying,train,(D) frying,D,,False,False
262893,What is the boy in blue and white trying to do?,B,backflip,kick ball,tackle boy,grab ball,train,(B) kick ball,B,,False,False
457636,What foot appeared are the hockey players wearing to play on the ice?,B,cleats,skates,rollerblades,sticks,train,(B) skates,B,,False,False
274885,Why do sheep have colored dye on their backs?,B,unknown,mating details,identify owner,identify breed,train,(B) mating details,B,,False,False
485822,What event is going to take place?,C,car speeding,car show,motorcycle parade,motorcycle sale,train,(D) motorcycle sale,D,"Yes, the error is likely caused by spurious correlation. The model may have associated the presence of multiple motorcycles in a parking lot with a sale event, rather than recognizing the context of a motorcycle parade. This misinterpretation suggests reliance on non-causal patterns.",True,True
508811,What is most likely in the air?,A,tennis ball,kite,airplane,frisbee,train,(A) tennis ball,A,,False,False
393274,What letter is on the front of the train?,C,e,x,c,w,train,(C) c,C,,False,False
403913,What is the orange stuff in the bowl?,C,pumpkin,candy corn,carrot,squash,train,(C) carrot,C,,False,False
201969,What breed of dog is sitting near the fence?,D,pomeranian,rottweiler,dachshund,husky,train,(D) husky,D,,False,False
251408,What is on the top of the building?,A,cross,human,weathervane,bird,train,(A) cross,A,,False,False
7952,What could happen if the white truck parks a few feet directly ahead?,B,parade,collision,movie,sunset,train,(B) collision,B,,False,False
470474,What material is used to make roofing for buildings on the right side of this street?,B,grass,clay,tin,sod,train,(B) clay,B,,False,False
458682,What fruit is in the picture?,D,mangos,apples,peaches,oranges,train,(D) oranges,D,,False,False
421630,Which artist depicted Polynesians practicing this sport on the Sandwich Islands?,D,paul gauguin,georges seurat,michael donahue,john webber,train,(D) john webber,D,,False,False
381684,What animals are looking back at the cows?,B,horse,dog,giraffe,cat,train,(B) dog,B,,False,False
334715,What type of bottoms does the woman in white have on?,B,capris,bikini,skirt,shorts,train,(B) bikini,B,,False,False
489845,What type of room are the kids in?,B,bedroom,recreation,bathroom,kitchen,train,(B) recreation,B,,False,False
